Year,sh_thompson_spawner_count,sh_p4,sh_p5,sh_p6,sh_p7,sh_p8,sh_thompson_spawners,sh_thompson_recruits,sh_thompson_lnrs,sh_SL,sh_SST,sh_NPGO,sh_FN_mortalities,sh_sport_mortalities,sh_U_bycatch
1951,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1952,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1953,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1954,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1955,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1956,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1957,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1958,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1959,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1960,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1961,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1962,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1963,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1964,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1965,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1966,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1967,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1968,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1969,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1970,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1971,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1972,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1973,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1974,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1975,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1976,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1977,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,
1978,1666,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.666,6.753,1.399561307,-0.904618196,-0.187661961,0.062001431,50,746.5940368,0.42305019
1979,1666,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.666,2.908,0.557040016,-0.877048729,-0.104851871,-1.016874106,50,580.5568996,0.42305019
1980,952,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.952,10.539,2.404272906,-0.848362017,-1.039633879,-0.791693881,50,1008.365828,0.42305019
1981,1247,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.247,4.664,1.319132782,-0.818501369,-0.09294143,0.769193945,50,660.8248448,0.42305019
1982,1190,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.19,3.005,0.926324261,-0.787406128,-0.615053553,0.022210548,50,959.4125418,0.42305019
1983,2857,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,2.857,3.834,0.294136521,-0.755011316,-0.362332045,-0.569226671,50,1031.673431,0.42305019
1984,1120,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.12,3.449,1.124755649,-0.72124723,-0.303711928,0.128922461,50,838.802085,0.42305019
1985,3510,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,3.51,2.181,-0.47583255,-0.686039006,-1.01149843,1.489047196,50,1349.71842,0.42305019
1986,2330,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,2.33,2.269,-0.026529062,-0.649306135,-1.350999694,0.40926732,50,1141.9318,0.42305019
1987,1680,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.68,2.066,0.206820577,-0.610961927,0.701962386,-0.205682693,50,80.74285108,0.42305019
1988,1500,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.5,4.292,1.051287717,-0.570912918,0.063574678,-0.173126515,50,559.0570587,0.42305019
1989,1670,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.67,4.331,0.952974836,-0.529058217,-0.339032938,-1.743057724,50,267.5331317,0.42305019
1990,1200,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.2,3.917,1.183004498,-0.485288782,0.03118128,-1.103690579,50,77.87723487,0.42305019
1991,1200,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.2,1.5,0.223143551,-0.439486617,0.654897794,-0.391072035,50,36.2349992,0.42305019
1992,900,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.9,3.423,1.335877875,-0.39152389,0.296112294,-1.478990954,50,36.51798504,0.42305019
1993,2960,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,2.96,2.217,-0.289034338,-0.341261945,-0.259975541,-1.271897494,50,129.7255557,0.289
1994,2660,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,2.66,3.311,0.218924136,-0.288550222,-0.111411929,-0.911970869,50,129.497533,0.244
1995,2590,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,2.59,1.503,-0.544194765,-0.23322505,1.204387737,0.132539815,50,133.9419333,0.4255
1996,1020,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.02,2.234,0.783991073,-0.175108313,-0.353596297,1.332596678,50,70.09225954,0.337
1997,3000,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,3,3.347,0.109452134,-0.114005976,-1.260334688,1.888764704,50,115.2885299,0.1095
1998,1470,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.47,1.789,0.196394404,-0.049706443,0.252657552,1.648210728,50,98.51580986,0.2315
1999,2520,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,2.52,1.48,-0.532216814,0.018021256,-0.8575587,0.878618874,50,53.68987745,0.1135
2000,1500,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.5,3.409,0.820953885,0.089429477,0.349566362,0.712220635,50,37.36893204,0.0945
2001,1810,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.81,1.68,-0.074533052,0.164794193,0.043848935,0.068331798,50,36.82987888,0.0615
2002,3160,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,3.16,1.002,-1.148574025,0.244417472,1.208955494,-0.833293441,50,74.91,0.1025
2003,1480,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.48,1.305,-0.125839047,0.32863022,0.957037363,-0.229195487,50,34.38,0.1385
2004,950,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.95,0.885,-0.07087434,0.417795225,-0.677578311,0.506031513,50,13.8,0.1455
2005,2440,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,2.44,0.728,-1.20945227,0.512310537,-0.604821845,1.452873665,50,26.22,0.212
2006,1660,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.66,0.739,-0.80927496,0.612613219,-1.394178981,0.383041511,50,34.29,0.12
2007,740,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.74,1.333,0.588537134,0.719183501,-0.444916951,1.568628962,50,18.81,0.163
2008,1160,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.16,1.177,0.014548823,0.832549405,-0.153711628,1.142685644,50,18.84,0.105
2009,690,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.69,1.802,0.959960841,0.953291862,-0.726701229,1.352492119,50,0,0.071
2010,590,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.59,1.031,0.558161947,1.082050403,-1.05744239,0.651629972,50,20.49,0.1
2011,520,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.52,0.419,-0.215957892,1.219529475,0.892618701,0.087322902,50,0,0.1
2012,1000,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1,0.334,-1.096614286,1.366505446,2.060984338,-0.769989763,50,28.17,0.2
2013,1090,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.09,0.22,-1.600305429,1.523834391,1.737063217,-0.735624909,50,34.2,0.113
2014,1300,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.3,0.286,-1.514127733,1.692460731,1.934065045,-0.53305314,50,23.22,0.25
2015,850,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.85,0.278,-1.117615236,1.87342683,0.22747257,-1.857004344,50,13.56,0.24
2016,360,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.36,0.208,-0.548565952,2.067883642,0.985331147,-1.798222358,40.19671534,1.77,0.2
2017,240,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.24,0.154,-0.443686321,2.277102548,2.278528152,-1.348766246,26.82885477,1.46,0.2
2018,150,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.15,0.377,0.921609893,2.502488487,1.46155122,-0.788076528,16.5,1,0.2
2019,258.4462416,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2020,285.9993698,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2021,218.1143437,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2022,122.9737773,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2023,396.0018205,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2024,219.0246123,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2025,536,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2026,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2027,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2028,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2029,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2030,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2031,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2032,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2033,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2034,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2035,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2036,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2037,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2038,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2039,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
2040,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,
